areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
E12000001,North East,region,2022-04-26,115
E12000001,North East,region,2022-04-25,73
E12000001,North East,region,2022-04-24,90
E12000001,North East,region,2022-04-23,120
E12000001,North East,region,2022-04-22,196
E12000001,North East,region,2022-04-21,161
E12000001,North East,region,2022-04-20,204
E12000001,North East,region,2022-04-19,128
E12000001,North East,region,2022-04-18,60
E12000001,North East,region,2022-04-17,10
E12000001,North East,region,2022-04-16,149
E12000001,North East,region,2022-04-15,109
E12000001,North East,region,2022-04-14,156
E12000001,North East,region,2022-04-13,148
E12000001,North East,region,2022-04-12,157
E12000001,North East,region,2022-04-11,128
E12000001,North East,region,2022-04-10,131
E12000001,North East,region,2022-04-09,161
E12000001,North East,region,2022-04-08,191
E12000001,North East,region,2022-04-07,139
E12000001,North East,region,2022-04-06,139
E12000001,North East,region,2022-04-05,143
E12000001,North East,region,2022-04-04,94
E12000001,North East,region,2022-04-03,105
E12000001,North East,region,2022-04-02,190
E12000001,North East,region,2022-04-01,131
E12000001,North East,region,2022-03-31,180
E12000001,North East,region,2022-03-30,150
E12000001,North East,region,2022-03-29,161
E12000001,North East,region,2022-03-28,131
E12000001,North East,region,2022-03-27,74
E12000001,North East,region,2022-03-26,153
E12000001,North East,region,2022-03-25,165
E12000001,North East,region,2022-03-24,159
E12000001,North East,region,2022-03-23,186
E12000001,North East,region,2022-03-22,248
E12000001,North East,region,2022-03-21,120
E12000001,North East,region,2022-03-20,123
E12000001,North East,region,2022-03-19,156
E12000001,North East,region,2022-03-18,186
E12000001,North East,region,2022-03-17,150
E12000001,North East,region,2022-03-16,214
E12000001,North East,region,2022-03-15,177
E12000001,North East,region,2022-03-14,141
E12000001,North East,region,2022-03-13,95
E12000001,North East,region,2022-03-12,160
E12000001,North East,region,2022-03-11,258
E12000001,North East,region,2022-03-10,176
E12000001,North East,region,2022-03-09,222
E12000001,North East,region,2022-03-08,228
E12000001,North East,region,2022-03-07,143
E12000001,North East,region,2022-03-06,103
E12000001,North East,region,2022-03-05,183
E12000001,North East,region,2022-03-04,237
E12000001,North East,region,2022-03-03,236
E12000001,North East,region,2022-03-02,262
E12000001,North East,region,2022-03-01,192
E12000001,North East,region,2022-02-28,187
E12000001,North East,region,2022-02-27,136
E12000001,North East,region,2022-02-26,172
E12000001,North East,region,2022-02-25,272
E12000001,North East,region,2022-02-24,291
E12000001,North East,region,2022-02-23,271
E12000001,North East,region,2022-02-22,224
E12000001,North East,region,2022-02-21,187
E12000001,North East,region,2022-02-20,119
E12000001,North East,region,2022-02-19,242
E12000001,North East,region,2022-02-18,242
E12000001,North East,region,2022-02-17,294
E12000001,North East,region,2022-02-16,384
E12000001,North East,region,2022-02-15,367
E12000001,North East,region,2022-02-14,281
E12000001,North East,region,2022-02-13,201
E12000001,North East,region,2022-02-12,307
E12000001,North East,region,2022-02-11,382
E12000001,North East,region,2022-02-10,392
E12000001,North East,region,2022-02-09,531
E12000001,North East,region,2022-02-08,418
E12000001,North East,region,2022-02-07,379
E12000001,North East,region,2022-02-06,227
E12000001,North East,region,2022-02-05,407
E12000001,North East,region,2022-02-04,383
E12000001,North East,region,2022-02-03,457
E12000001,North East,region,2022-02-02,499
E12000001,North East,region,2022-02-01,418
E12000001,North East,region,2022-01-31,397
E12000001,North East,region,2022-01-30,428
E12000001,North East,region,2022-01-29,478
E12000001,North East,region,2022-01-28,638
E12000001,North East,region,2022-01-27,569
E12000001,North East,region,2022-01-26,638
E12000001,North East,region,2022-01-25,452
E12000001,North East,region,2022-01-24,411
E12000001,North East,region,2022-01-23,418
E12000001,North East,region,2022-01-22,691
E12000001,North East,region,2022-01-21,560
E12000001,North East,region,2022-01-20,743
E12000001,North East,region,2022-01-19,667
E12000001,North East,region,2022-01-18,621
E12000001,North East,region,2022-01-17,546
E12000001,North East,region,2022-01-16,727
E12000001,North East,region,2022-01-15,857
E12000001,North East,region,2022-01-14,838
E12000001,North East,region,2022-01-13,815
E12000001,North East,region,2022-01-12,651
E12000001,North East,region,2022-01-11,577
E12000001,North East,region,2022-01-10,570
E12000001,North East,region,2022-01-09,815
E12000001,North East,region,2022-01-08,1195
E12000001,North East,region,2022-01-07,938
E12000001,North East,region,2022-01-06,941
E12000001,North East,region,2022-01-05,962
E12000001,North East,region,2022-01-04,845
E12000001,North East,region,2022-01-03,657
E12000001,North East,region,2022-01-02,840
E12000001,North East,region,2022-01-01,54
E12000001,North East,region,2021-12-31,374
E12000001,North East,region,2021-12-30,1277
E12000001,North East,region,2021-12-29,1202
E12000001,North East,region,2021-12-28,923
