areaCode,areaName,areaType,date,newPeopleVaccinatedSecondDoseByVaccinationDate
E12000001,North East,region,2022-04-26,300
E12000001,North East,region,2022-04-25,231
E12000001,North East,region,2022-04-24,356
E12000001,North East,region,2022-04-23,440
E12000001,North East,region,2022-04-22,666
E12000001,North East,region,2022-04-21,458
E12000001,North East,region,2022-04-20,597
E12000001,North East,region,2022-04-19,342
E12000001,North East,region,2022-04-18,174
E12000001,North East,region,2022-04-17,73
E12000001,North East,region,2022-04-16,439
E12000001,North East,region,2022-04-15,298
E12000001,North East,region,2022-04-14,390
E12000001,North East,region,2022-04-13,461
E12000001,North East,region,2022-04-12,349
E12000001,North East,region,2022-04-11,441
E12000001,North East,region,2022-04-10,468
E12000001,North East,region,2022-04-09,496
E12000001,North East,region,2022-04-08,490
E12000001,North East,region,2022-04-07,328
E12000001,North East,region,2022-04-06,300
E12000001,North East,region,2022-04-05,237
E12000001,North East,region,2022-04-04,294
E12000001,North East,region,2022-04-03,346
E12000001,North East,region,2022-04-02,527
E12000001,North East,region,2022-04-01,348
E12000001,North East,region,2022-03-31,476
E12000001,North East,region,2022-03-30,474
E12000001,North East,region,2022-03-29,393
E12000001,North East,region,2022-03-28,408
E12000001,North East,region,2022-03-27,315
E12000001,North East,region,2022-03-26,484
E12000001,North East,region,2022-03-25,490
E12000001,North East,region,2022-03-24,602
E12000001,North East,region,2022-03-23,609
E12000001,North East,region,2022-03-22,524
E12000001,North East,region,2022-03-21,403
E12000001,North East,region,2022-03-20,463
E12000001,North East,region,2022-03-19,530
E12000001,North East,region,2022-03-18,527
E12000001,North East,region,2022-03-17,546
E12000001,North East,region,2022-03-16,573
E12000001,North East,region,2022-03-15,659
E12000001,North East,region,2022-03-14,496
E12000001,North East,region,2022-03-13,358
E12000001,North East,region,2022-03-12,558
E12000001,North East,region,2022-03-11,617
E12000001,North East,region,2022-03-10,545
E12000001,North East,region,2022-03-09,581
E12000001,North East,region,2022-03-08,491
E12000001,North East,region,2022-03-07,286
E12000001,North East,region,2022-03-06,340
E12000001,North East,region,2022-03-05,574
E12000001,North East,region,2022-03-04,532
E12000001,North East,region,2022-03-03,651
E12000001,North East,region,2022-03-02,581
E12000001,North East,region,2022-03-01,614
E12000001,North East,region,2022-02-28,379
E12000001,North East,region,2022-02-27,389
E12000001,North East,region,2022-02-26,547
E12000001,North East,region,2022-02-25,593
E12000001,North East,region,2022-02-24,545
E12000001,North East,region,2022-02-23,632
E12000001,North East,region,2022-02-22,454
E12000001,North East,region,2022-02-21,417
E12000001,North East,region,2022-02-20,354
E12000001,North East,region,2022-02-19,587
E12000001,North East,region,2022-02-18,707
E12000001,North East,region,2022-02-17,971
E12000001,North East,region,2022-02-16,958
E12000001,North East,region,2022-02-15,856
E12000001,North East,region,2022-02-14,710
E12000001,North East,region,2022-02-13,537
E12000001,North East,region,2022-02-12,764
E12000001,North East,region,2022-02-11,916
E12000001,North East,region,2022-02-10,1241
E12000001,North East,region,2022-02-09,838
E12000001,North East,region,2022-02-08,906
E12000001,North East,region,2022-02-07,1023
E12000001,North East,region,2022-02-06,726
E12000001,North East,region,2022-02-05,1096
E12000001,North East,region,2022-02-04,813
E12000001,North East,region,2022-02-03,902
E12000001,North East,region,2022-02-02,937
E12000001,North East,region,2022-02-01,952
E12000001,North East,region,2022-01-31,801
E12000001,North East,region,2022-01-30,1169
E12000001,North East,region,2022-01-29,1436
E12000001,North East,region,2022-01-28,1258
E12000001,North East,region,2022-01-27,992
E12000001,North East,region,2022-01-26,1044
E12000001,North East,region,2022-01-25,716
E12000001,North East,region,2022-01-24,758
E12000001,North East,region,2022-01-23,1301
E12000001,North East,region,2022-01-22,1887
E12000001,North East,region,2022-01-21,1245
E12000001,North East,region,2022-01-20,1241
E12000001,North East,region,2022-01-19,942
E12000001,North East,region,2022-01-18,875
E12000001,North East,region,2022-01-17,859
E12000001,North East,region,2022-01-16,1130
E12000001,North East,region,2022-01-15,1371
E12000001,North East,region,2022-01-14,1013
E12000001,North East,region,2022-01-13,1084
E12000001,North East,region,2022-01-12,1127
E12000001,North East,region,2022-01-11,867
E12000001,North East,region,2022-01-10,851
E12000001,North East,region,2022-01-09,1218
E12000001,North East,region,2022-01-08,1732
E12000001,North East,region,2022-01-07,1348
E12000001,North East,region,2022-01-06,1147
E12000001,North East,region,2022-01-05,1280
E12000001,North East,region,2022-01-04,1324
E12000001,North East,region,2022-01-03,1064
E12000001,North East,region,2022-01-02,1401
E12000001,North East,region,2022-01-01,84
E12000001,North East,region,2021-12-31,622
E12000001,North East,region,2021-12-30,2058
E12000001,North East,region,2021-12-29,1864
E12000001,North East,region,2021-12-28,1380
E12000001,North East,region,2021-12-27,666
E12000001,North East,region,2021-12-26,85
E12000001,North East,region,2021-12-25,7
E12000001,North East,region,2021-12-24,502
E12000001,North East,region,2021-12-23,1588
E12000001,North East,region,2021-12-22,2024
E12000001,North East,region,2021-12-21,1918
E12000001,North East,region,2021-12-20,1692
E12000001,North East,region,2021-12-19,1797
E12000001,North East,region,2021-12-18,1581
E12000001,North East,region,2021-12-17,1747
E12000001,North East,region,2021-12-16,1733
E12000001,North East,region,2021-12-15,1740
E12000001,North East,region,2021-12-14,1087
E12000001,North East,region,2021-12-13,1133
E12000001,North East,region,2021-12-12,1455
E12000001,North East,region,2021-12-11,1429
E12000001,North East,region,2021-12-10,1596
E12000001,North East,region,2021-12-09,1382
E12000001,North East,region,2021-12-08,1390
E12000001,North East,region,2021-12-07,889
E12000001,North East,region,2021-12-06,1067
E12000001,North East,region,2021-12-05,877
E12000001,North East,region,2021-12-04,1314
E12000001,North East,region,2021-12-03,1213
E12000001,North East,region,2021-12-02,1047
E12000001,North East,region,2021-12-01,1050
E12000001,North East,region,2021-11-30,924
E12000001,North East,region,2021-11-29,943
E12000001,North East,region,2021-11-28,674
E12000001,North East,region,2021-11-27,978
E12000001,North East,region,2021-11-26,1004
E12000001,North East,region,2021-11-25,971
E12000001,North East,region,2021-11-24,848
E12000001,North East,region,2021-11-23,686
E12000001,North East,region,2021-11-22,567
E12000001,North East,region,2021-11-21,526
E12000001,North East,region,2021-11-20,846
E12000001,North East,region,2021-11-19,761
E12000001,North East,region,2021-11-18,682
